outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"C2i1 A1a";A1a;"Savoir évaluer les évolutions technologiques en maîtrisant les principaux ordres de grandeur (mémoire, calcul, débit)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A1b";A1b;"Savoir utiliser différents systèmes d'exploitation";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A1c";A1c;"Savoir distinguer les formats ouverts et les formats propriétaires";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A1d";A1d;"Savoir comparer les quantités d'information de différents types de documents (texte, image, son, vidéo)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A1e";A1e;"Savoir utiliser les formats les plus adaptés à l'échange d'informations";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A2a";A2a;"Savoir distinguer les différents types de licences logicielles et les utiliser de manière conforme";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A2b";A2b;"Savoir sous quelles conditions, un document trouvé sur le web, peut être utilisé dans le respect du droit d'auteur";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A2c";A2c;"Savoir protéger la confidentialité des données personnelles et maitriser son identité numérique";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A2d";A2d;"Savoir dans quels cas, un fichier informatique doit être déclaré auprès de la CNIL";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 A2e";A2e;"Savoir reconnaître les nuisances d'internet (rumeurs, hameconnage, pourriel)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B1a";B1a;"Savoir paramétrer un système de gestion de fichiers et afficher les informations souhaitées";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B1b";B1b;"Savoir structurer et gérer une arborescence de dossiers et de fichiers";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B1c";B1c;"Savoir utiliser le logiciel adapté pour consulter et/ou modifier un document";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B1d";B1d;"Savoir  retrouver un fichier dans une arborescence de dossiers";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B1e";B1e;"Savoir connecter un ordinateur à différents types de réseaux filaires et Wifi, et comprendre les paramétrages à effectuer";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B2a";B2a;"Savoir distinguer les différents outils de recherche (moteur, annuaire, catalogue, base documentaire) et leurs spécificités";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B2b";B2b;"Savoir analyser la fiabilité de l'information obtenue par une recherche sur le web";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B2c";B2c;"Savoir écrire une requête de recherche complexe avec mots clés et opérations logiques";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B2d";B2d;"Savoir choisir l'application permettant d'ouvrir un document obtenu sur le web";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B2e";B2e;"Savoir localiser et qualifier différents types de ressources par leur URL";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B3a";B3a;"Savoir utiliser différents volumes mémoires personnels ou partagés, dans un environnement réseau";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B3b";B3b;"Savoir protéger fichiers et dossiers dans un environnement réseau, multi-utilisateur";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B3c";B3c;"Savoir sauvegarder ses données sur un serveur";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B3d";B3d;"Savoir créer et extraire une archive avec ou sans compression";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
