outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
C2i2e A.1.1;A.1.1;Identifier les personnes ressources TIC et leurs rôles respectifs dans l'école ou l'établissement, et en dehors (circonscription, bassin, Académie, niveau national...);Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.1.2;A.1.2;S'approprier les différentes composantes informatiques (lieux, outils...) de son environnement professionnel;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.1.3;A.1.3;Choisir et utiliser les ressources et services d'un environnement numérique de travail (ENT);Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.1.4;A.1.4;Choisir et utiliser les outils les plus adaptés pour communiquer avec les acteurs et usagers du système éducatif;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.1.5;A.1.5;Se constituer et organiser des ressources en utilisant des sources professionnelles;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.2.1;A.2.1;Utiliser les ressources en ligne et les dispositifs de Formation Ouverte et à Distance (FOAD) pour sa formation;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.2.2;A.2.2;Se référer à des travaux de recherche liant savoirs, apprentissages et TICE;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.2.3;A.2.3;Pratiquer une veille pédagogique et institutionnelle, notamment par l'identification des réseaux d'échange concernant son domaine, sa discipline, son niveau d'enseignement;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.3.1;A.3.1;S'exprimer et communiquer en s'adaptant aux différents destinataires et espaces de diffusion (institutionnel, public, privé, interne, externe...);Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.3.2;A.3.2;Prendre en compte les enjeux et respecter les règles concernant notamment la recherche et les critères de contrôle de validité des informations, la sécurité informatique, le filtrage Internet;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.3.3;A.3.3;Prendre en compte les lois et les exigences d'une utilisation professionnelle et citoyenne des TICE concernant : la protection des libertés individuelles et publiques, la sécurité des personnes, la protection des mineurs, la confidentialité des données, la propriété intellectuelle, le droit à l'image;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e A.3.4;A.3.4;Respecter et faire respecter la charte d'usage de l'établissement, dans une perspective éducative d'apprentissage de la citoyenneté;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.1.1;B.1.1;Rechercher, produire, partager et mutualiser des documents, des informations, des ressources dans un environnement numérique;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.1.2;B.1.2;Contribuer à une production ou à un activite collectif au sein d'équipes disciplinaires, interdisciplinaires, transversales ou éducatives;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.1.3;B.1.3;Concevoir des situations de recherche d'information dans le cadre de activités transversales et interdisciplinaires;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.2.1;B.2.1;Identifier les situations d'apprentissage propices à l'utilisation des TICE;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.2.2;B.2.2;Concevoir des situations d'apprentissage et d'évaluation mettant en oeuvre des logiciels généraux ou spécifiques à la discipline, au domaine enseigné, au niveau de la classe;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.2.3;B.2.3;Intégrer des outils et des ressources dans une séquence d'enseignement, en opérant des choix entre les supports et médias utilisables et leurs modalités d'utilisation;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.2.4;B.2.4;Préparer des ressources adaptées à la diversité des publics et des situations pédagogiques en respectant les règles de la communication;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.3.1;B.3.1;Conduire des situations d'apprentissage en tirant partie du potentiel des TIC : travail collectif, individualisé, en petits groupes;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.3.2;B.3.2;Gérer l'alternance, au cours d'une séance, entre les activités utilisant les TICE et celles qui n'y ont pas recours;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.3.3;B.3.3;Prendre en compte la diversité des élèves la difficulté scolaire en utilisant les TICE pour gérer des temps et des modalités de travail différenciés, en présentiel et/ou à distance;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.3.4;B.3.4;Utiliser les TICE pour accompagner des élèves, des groupes d'élèves dans leurs activites de production ou de recherche d'information;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.3.5;B.3.5;Anticiper un incident technique ou y faire face;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.4.1;B.4.1;Identifier les compétences des référentiels TIC (B2i ® ou C2i ®) mises en oeuvre dans une situation de formation proposée aux élèves, aux étudiants;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.4.2;B.4.2;S'intégrer dans une démarche collective d'évaluation des compétences TIC (B2i ® ou C2i ®);Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
C2i2e B.4.3;B.4.3;Exploiter les résultats produits par des logiciels institutionnels d'évaluation des élèves (J'ADE).;Item référentiel;Non acquis,En cours d'acquisition,Acquis;Ce barème est destiné à évaluer (noter) les items de compétences du module référentiel.
