#Moodle Referentiel CSV Export;latin1;Professeur LAMBDA;;;;;;;
#code;nom_referentiel;description;url;timecreated;nb_domaines;certificatethreshold;liste_codes_competences;liste_empreintes;logo
B2i_Lycée;B2i Lycée;Le B2i atteste l`acquisition d`un ensemble de compétences développées par les élèves ou les apprentis, tout au long de leur cursus, à l`éLyce, au Lyclège, dans les lycées d`enseignement général`et technologique, les lycées professionnels, les centres de formation d`apprentis (CFA) et les sections d`apprentissage (SA) gérés par des établissements publics locaux d`enseignement (EPLE).;http://www.education.gouv.fr/bo/2006/42/MENE0602673C.htm;Y:2009m:12d:20;1;15;Lyc1.1/Lyc1.2/Lyc1.3/Lyc1.4/Lyc1.5/Lyc1.6/Lyc2.1/Lyc2.2/Lyc2.3/Lyc2.4/Lyc2.5/Lyc2.6/Lyc2.7/Lyc3.1/Lyc3.2/Lyc3.3/Lyc3.4/Lyc3.5/Lyc3.6/Lyc3.7/Lyc3.8/Lyc4.1/Lyc4.2/Lyc4.3/Lyc4.4/Lyc4.5/Lyc5.1/Lyc5.2/Lyc5.3/Lyc5.4/Lyc5.5/;1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/;
#code;description;referentielid;sortorder;nb_competences;;;;;
Lycée;Les contenus sont organisés en cinq domaines communs aux trois niveaux : 1. S'approprier un environnement informatique de travail. 2. Adopter une attitude responsable. 3. Créer, produire, traiter, exploiter des données. 4. S'informer, se documenter.  5. Communiquer, échanger.;1;1;;;;;;
#code;description;sortorder;nb_item_competences;;;;;;
Lyc1;S'approprier un environnement informatique de travail;1;6;;;;;;
#code;description;type;weight;sortorder;footprint;;;;
Lyc1.1;1.1) Je sais choisir les services, matériels et logiciels adaptés à mes besoins.;;1;1;1;;;;
Lyc1.2;1.2) Je sais structurer mon environnement de travail.;;1;2;1;;;;
Lyc1.3;1.3) Je sais régler les principaux paramètres de fonctionnement d'un périphérique selon mes besoins.;;1;3;1;;;;
Lyc1.4;1.4) Je sais personnaliser un logiciel selon mes besoins.;;1;4;1;;;;
Lyc1.5;1.5) Je sais m'affranchir des fonctions automatiques des logiciels (saisie, mémorisation mot de passe, correction orthographique, incrémentation...).;;1;5;1;;;;
Lyc1.6;1. O 1) Je sais utiliser une plate-forme de travail de groupe.;;1;6;1;;;;
#code;description;sortorder;nb_item_competences;;;;;;
Lyc2;Adopter une attitude responsable;2;7;;;;;;
#code;description;type;weight;sortorder;footprint
Lyc2.1;2.1) Je connais la charte d'usage des TIC de mon établissement.;;1;1;1
Lyc2.2;2.2) Je protège ma vie privée en réfléchissant aux informations personnelles que je communique.;;1;2;1
Lyc2.3;2.3) J'utilise les documents ou des logiciels dans le respect des droits d'auteur et de propriété.;;1;3;1
Lyc2.4;2.4) Je valide, à partir de critères définis, les résultats qu'un traitement automatique me fournit (calcul, représentation graphique, correcteur...).;;1;4;1
Lyc2.5;2.5) Je suis capable de me référer en cas de besoin à la réglementation en vigueur sur les usages numériques.;;1;5;1
Lyc2.6;2.6) Je sais que l'on peut connaître mes opérations et accéder à mes données lors de l'utilisation d'un environnement informatique.;;1;6;1
Lyc2.7;2.7) Je mets mes compétences informatiques à la disposition des autres.;;1;7;1
#code;description;sortorder;nb_item_competences;;
Lyc3;Créer, produire, traiter, exploiter des données;3;8;;
#code;description;type;weight;sortorder;footprint
Lyc3.1;3.1) Je sais créer et modifier un document numérique composite transportable et publiable.;;1;1;1
Lyc3.2;3.2) Je sais insérer automatiquement des informations dans un document (notes de bas de page, sommaire...).;;1;2;1
Lyc3.3;3.3) Je sais utiliser des outils permettant de travailler à plusieurs sur un même document (outil de suivi de modifications...).;;1;3;1
Lyc3.4;3.4) Je sais utiliser ou créer des formules pour traiter les données.;;1;4;1
Lyc3.5;3.5) Je sais produire une représentation graphique à partir d'un traitement de données numériques.;;1;5;1
Lyc3.6;3.6) Dans le cadre de mes activités sLycaires, je sais repérer des exemples de modélisation ou simulation et je sais citer au moins un paramètre qui influence le résultat.;;1;6;1
Lyc3.7;3.7) Je sais publier un document numérique sur un espace approprié.;;1;7;1
Lyc3.8;3. O 1) Je sais utiliser un modèle de document.;;1;8;1
#code;description;sortorder;nb_item_competences;;
Lyc4;S'informer, se documenter;4;5;;
#code;description;type;weight;sortorder;footprint
Lyc4.1;4.1) Je sais interroger les bases documentaires à ma disposition.;;1;1;1
Lyc4.2;4.2) Je sais utiliser les fonctions avancées des outils de recherche sur internet.;;1;2;1
Lyc4.3;4.3) Je sais énoncer des critères de tri d'informations.;;1;3;1
Lyc4.4;4.4) Je sais constituer une bibliographie incluant des documents d'origine numérique.;;1;4;1
Lyc4.5;4. O 1) Je sais utiliser des outils de veille documentaire.;;1;5;1
#code;description;sortorder;nb_item_competences;;
Lyc5;Communiquer, échanger;5;5;;
#code;description;type;weight;sortorder;footprint
Lyc5.1;5.1) Je sais choisir le service de communication selon mes besoins.;;1;1;1
Lyc5.2;5.2) Je sais organiser mes espaces d'échange (messagerie, travail de groupe...);;1;2;1
Lyc5.3;5.3) Je sais adapter le contenu des informations transmises aux lecteurs potentiels : niveau de langage, forme, contenu, taille, copies.;;1;3;1
Lyc5.4;5. O 1) Je sais paramétrer un logiciel de messagerie pour récupérer mon courrier électronique.;;1;4;1
Lyc5.5;5. O 2) Je sais gérer des groupes de destinataires.;;1;5;1
